timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,cloud_cover,sunshine_duration,wind_speed_10m,wind_direction_10m,weather_code,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city
2019-12-31 17:00:00+00:00,16.8,99.68324,16.75,0.5,100.0,0.0,3.096837,125.537766,53.0,17.3,0.486,Ninh Bình (tây)
2019-12-31 18:00:00+00:00,16.6,99.682724,16.55,0.5,100.0,0.0,3.096837,125.537766,53.0,17.15,0.489,Ninh Bình (tây)
2019-12-31 19:00:00+00:00,16.5,99.682495,16.45,0.3,100.0,0.0,3.0758414,110.55613,51.0,17.05,0.488,Ninh Bình (tây)
2019-12-31 20:00:00+00:00,16.35,99.6821,16.3,0.2,100.0,0.0,3.9763298,84.805664,51.0,16.95,0.486,Ninh Bình (tây)
2019-12-31 21:00:00+00:00,16.2,99.68175,16.15,0.1,100.0,0.0,4.3349743,94.76356,51.0,16.8,0.483,Ninh Bình (tây)
2019-12-31 22:00:00+00:00,16.1,99.68148,16.05,0.0,100.0,0.0,3.319036,102.5288,3.0,16.7,0.48,Ninh Bình (tây)
2019-12-31 23:00:00+00:00,16.15,99.68165,16.1,0.0,100.0,0.0,2.2768397,108.43504,3.0,16.65,0.478,Ninh Bình (tây)
2020-01-01 00:00:00+00:00,16.45,99.68235,16.4,0.0,100.0,0.0,2.0991426,120.96369,3.0,17.8,0.479,Ninh Bình (tây)
2020-01-01 01:00:00+00:00,16.7,99.682945,16.65,0.2,100.0,0.0,2.9024127,97.12492,51.0,17.45,0.479,Ninh Bình (tây)
2020-01-01 02:00:00+00:00,17.15,95.96074,16.5,0.1,100.0,0.0,4.379589,80.53775,51.0,17.35,0.477,Ninh Bình (tây)
2020-01-01 03:00:00+00:00,17.65,91.802055,16.3,0.1,100.0,0.0,5.815978,68.19853,51.0,17.45,0.476,Ninh Bình (tây)
2020-01-01 04:00:00+00:00,18.15,90.6734,16.6,0.6,100.0,0.0,5.5887027,75.068535,53.0,17.65,0.479,Ninh Bình (tây)
2020-01-01 05:00:00+00:00,18.4,91.2672,16.95,0.9,100.0,0.0,5.3517847,70.346085,53.0,17.85,0.484,Ninh Bình (tây)
2020-01-01 06:00:00+00:00,18.1,99.061676,17.95,0.9,100.0,0.0,4.5536795,71.564964,53.0,18.05,0.489,Ninh Bình (tây)
2020-01-01 07:00:00+00:00,17.85,99.685745,17.8,1.5,100.0,0.0,3.9763298,84.805664,61.0,18.0,0.501,Ninh Bình (tây)
2020-01-01 08:00:00+00:00,18.05,99.373375,17.95,1.2,100.0,0.0,4.73506,98.74608,55.0,18.1,0.505,Ninh Bình (tây)
2020-01-01 09:00:00+00:00,17.9,99.685905,17.85,0.8,100.0,0.0,4.5536795,108.43504,53.0,18.05,0.504,Ninh Bình (tây)
2020-01-01 10:00:00+00:00,17.55,99.68505,17.5,0.8,100.0,0.0,2.9024127,119.74479,53.0,17.9,0.505,Ninh Bình (tây)
2020-01-01 11:00:00+00:00,17.15,99.684074,17.1,1.1,100.0,0.0,2.7416782,113.19862,55.0,17.7,0.508,Ninh Bình (tây)
2020-01-01 12:00:00+00:00,17.05,99.99999,17.05,1.3,100.0,0.0,3.0758414,110.55613,61.0,19.5,0.495,Ninh Bình (tây)
2020-01-01 13:00:00+00:00,17.4,100.0,17.4,0.1,100.0,0.0,4.1046314,105.25517,51.0,18.65,0.491,Ninh Bình (tây)
2020-01-01 14:00:00+00:00,17.4,99.68469,17.35,0.1,100.0,0.0,3.0758414,110.55613,51.0,18.15,0.488,Ninh Bình (tây)
2020-01-01 15:00:00+00:00,17.4,100.0,17.4,0.0,100.0,0.0,2.16,90.0,3.0,17.9,0.485,Ninh Bình (tây)
2020-01-01 16:00:00+00:00,17.35,100.0,17.35,0.0,100.0,0.0,1.4399999,90.0,3.0,17.75,0.482,Ninh Bình (tây)
2020-01-01 17:00:00+00:00,17.35,100.0,17.35,0.0,100.0,0.0,1.4399999,90.0,3.0,17.65,0.48,Ninh Bình (tây)
2020-01-01 18:00:00+00:00,17.25,100.0,17.25,0.0,100.0,0.0,1.1384199,71.564964,3.0,17.55,0.478,Ninh Bình (tây)
2020-01-01 19:00:00+00:00,17.15,99.684074,17.1,0.0,100.0,0.0,0.8049845,63.435013,3.0,17.5,0.477,Ninh Bình (tây)
2020-01-01 20:00:00+00:00,17.0,100.0,17.0,0.0,100.0,0.0,0.35999998,360.0,3.0,17.4,0.476,Ninh Bình (tây)
2020-01-01 21:00:00+00:00,17.0,99.6837,16.95,0.1,100.0,0.0,0.5091169,44.999897,51.0,17.25,0.475,Ninh Bình (tây)
2020-01-01 22:00:00+00:00,16.5,100.0,16.5,0.0,100.0,0.0,1.2979984,146.3099,3.0,17.1,0.474,Ninh Bình (tây)
2020-01-01 23:00:00+00:00,15.95,100.0,15.95,0.0,100.0,0.0,2.1897945,189.46225,3.0,16.9,0.472,Ninh Bình (tây)
2020-01-02 00:00:00+00:00,16.5,100.0,16.5,0.0,100.0,0.0,1.8,216.86998,3.0,17.85,0.469,Ninh Bình (tây)
2020-01-02 01:00:00+00:00,18.05,93.88681,17.05,0.0,100.0,2144.5134,2.0991426,239.0363,3.0,17.8,0.468,Ninh Bình (tây)
2020-01-02 02:00:00+00:00,19.3,91.0375,17.8,0.0,100.0,3600.0,1.484318,104.03627,3.0,18.2,0.467,Ninh Bình (tây)
2020-01-02 03:00:00+00:00,20.7,84.27076,17.95,0.1,100.0,3600.0,2.0991426,59.03632,51.0,19.05,0.467,Ninh Bình (tây)
2020-01-02 04:00:00+00:00,21.35,81.48272,18.05,0.1,61.0,3321.71,3.563818,44.999897,51.0,19.65,0.466,Ninh Bình (tây)
2020-01-02 05:00:00+00:00,21.75,79.0144,17.95,0.3,100.0,2756.2075,4.198285,59.03632,51.0,20.1,0.467,Ninh Bình (tây)
2020-01-02 06:00:00+00:00,22.05,77.58101,17.95,0.0,100.0,2442.2039,3.7585104,73.300674,3.0,20.5,0.465,Ninh Bình (tây)
2020-01-02 07:00:00+00:00,22.15,76.86756,17.9,0.1,100.0,3600.0,5.1544156,77.90526,51.0,20.8,0.464,Ninh Bình (tây)
2020-01-02 08:00:00+00:00,22.4,75.4692,17.85,0.0,81.0,2721.0627,6.28713,103.24053,3.0,20.95,0.463,Ninh Bình (tây)
